tableName,shape,colName,dataType,strLength,uniqueValues
loan,"(682, 7)",payments,"decimal(6,2)",,3373.00; 2523.00; 5308.00; 2307.00; 6915.00; 8573.00; 7370.00; 7348.00; 4516.00; 8734.00
loan,"(682, 7)",loanStatus,varchar(2),2,A; B; D; C
orders,"(6471, 6)",order_id,int(11),,29401; 29402; 29403; 29404; 29405; 29406; 29407; 29408; 29409; 29410
orders,"(6471, 6)",account_id,int(11),,1; 2; 3; 4; 5; 6; 7; 8; 10; 11
orders,"(6471, 6)",bank_to,varchar(2),2,YZ; ST; QR; WX; CD; AB; UV; GH; IJ; KL; EF; MN; OP
orders,"(6471, 6)",account_to,int(11),,87144583; 89597016; 13943797; 83084338; 24485939; 59972357; 26693541; 5848086; 37390208; 44486999
orders,"(6471, 6)",amount,"decimal(6,1)",,2452.0; 3372.7; 7266.0; 1135.0; 327.0; 3539.0; 2078.0; 1285.0; 2668.0; 3954.0
orders,"(6471, 6)",k_symbol,varchar(50),50,leasing
trans,"(1056320, 10)",trans_id,int(11),,1; 5; 6; 7; 8; 9; 10; 11; 12; 13
trans,"(1056320, 10)",account_id,int(11),,1; 2; 3; 4; 5; 6; 7; 8; 9; 10
trans,"(1056320, 10)",date,date,,1995-03-24; 1995-04-13; 1995-05-13; 1995-06-13; 1995-07-13; 1995-08-13; 1995-09-13; 1995-10-13; 1995-11-13; 1995-12-13
trans,"(1056320, 10)",type,varchar(50),50,credit; withdrawal
trans,"(1056320, 10)",operation,varchar(50),50,deposit; Transfer_from_account; Transfer_to_account; cash_withdrawal; credit_card_withdrawal
trans,"(1056320, 10)",amount,int(11),,1000; 3679; 2452; 540; 180; 870; 150; 210; 720; 420
trans,"(1056320, 10)",balance,int(11),,1000; 4679; 20977; 26835; 30415; 28903; 22714; 23318; 21721; 20249
trans,"(1056320, 10)",k_symbol,varchar(50),50,bills; internal_services; loans;  ; insurance; pension; interest_credited; penalty_interest
trans,"(1056320, 10)",bank,varchar(2),2,AB; YZ; ST; QR; WX; CD; UV; KL; GH; OP; IJ; EF; MN
trans,"(1056320, 10)",account,int(10) unsigned,,41403269; 87144583; 66487163; 0; 89597016; 13943797; 83084338; 24485939; 59972357
