tableName,shape,colName,dataType,strLength,uniqueValues
order,"(6471, 6)",k_symbol,varchar(8),8,SIPO; UVER; ; POJISTNE; LEASING
trans,"(0, 10)",trans_id,int(11),,
trans,"(0, 10)",account_id,int(11),,
trans,"(0, 10)",date,date,,
trans,"(0, 10)",type,varchar(6),6,
trans,"(0, 10)",operation,varchar(14),14,
trans,"(0, 10)",amount,int(11),,
trans,"(0, 10)",balance,int(11),,
trans,"(0, 10)",k_symbol,varchar(11),11,
trans,"(0, 10)",bank,varchar(2),2,
trans,"(0, 10)",account,int(10) unsigned,,
